exercise_id,exercise_name,form_name,target_muscle,equipment,intensity_level,experience_level,avg_bpm,est_calories,movement_type,exercise_type,popularity_score
1,Push-up,Standard,Arms,Bodyweight,Medium,Beginner,123,313,Pull,Strength,0.93
2,Push-up,Standard,Full Body,Resistance Band,Low,Intermediate,131,221,Push,Flexibility,0.93
3,Push-up,Standard,Legs,Machine,High,Beginner,147,338,Compound,Endurance,0.96
4,Push-up,Diamond,Core,Bodyweight,Low,Beginner,126,397,Push,Flexibility,0.85
5,Push-up,Diamond,Back,Kettlebell,Low,Advanced,132,160,Push,Cardio,0.8
6,Push-up,Diamond,Back,Barbell,Low,Beginner,165,242,Compound,Cardio,0.86
7,Push-up,Incline,Full Body,Resistance Band,Medium,Advanced,151,343,Hold,Strength,0.76
8,Push-up,Incline,Core,Resistance Band,Medium,Intermediate,120,284,Hold,Cardio,0.75
9,Push-up,Incline,Chest,Plate,Medium,Beginner,136,495,Isolation,Endurance,0.98
10,Push-up,Decline,Shoulders,Bodyweight,Medium,Intermediate,116,252,Pull,Flexibility,0.81
11,Push-up,Decline,Full Body,Dumbbell,Low,Beginner,147,136,Isolation,Endurance,0.8
12,Push-up,Decline,Full Body,Barbell,Medium,Intermediate,140,314,Hold,Endurance,0.92
13,Push-up,Wide Grip,Full Body,Machine,High,Intermediate,161,436,Push,Flexibility,1.0
14,Push-up,Wide Grip,Legs,Resistance Band,Low,Beginner,110,305,Compound,Strength,0.74
15,Push-up,Wide Grip,Full Body,Dumbbell,Medium,Advanced,128,550,Isolation,Flexibility,0.97
16,Push-up,Clap,Shoulders,Machine,Low,Intermediate,152,177,Pull,Strength,0.85
17,Push-up,Clap,Chest,Plate,Medium,Advanced,158,404,Isolation,Cardio,0.99
18,Push-up,Clap,Back,Resistance Band,Medium,Intermediate,113,281,Isolation,Strength,0.71
19,Push-up,Archer,Core,Dumbbell,Low,Intermediate,151,302,Pull,Strength,0.76
20,Push-up,Archer,Legs,Plate,High,Advanced,111,481,Hold,Endurance,0.71
21,Push-up,Archer,Back,Kettlebell,High,Beginner,114,412,Pull,Cardio,0.79
22,Push-up,Explosive,Core,Kettlebell,Low,Intermediate,160,272,Push,Endurance,0.7
23,Push-up,Explosive,Full Body,Barbell,Low,Advanced,118,305,Hold,Cardio,0.73
24,Push-up,Explosive,Shoulders,Resistance Band,Medium,Beginner,130,512,Isolation,Flexibility,0.85
25,Squat,Back Squat,Legs,Kettlebell,High,Beginner,138,407,Push,Flexibility,0.99
26,Squat,Back Squat,Arms,Barbell,Medium,Beginner,159,273,Compound,Strength,0.9
27,Squat,Back Squat,Back,Bodyweight,High,Beginner,130,262,Hold,Cardio,0.7
28,Squat,Front Squat,Full Body,Barbell,Low,Beginner,122,239,Hold,Strength,0.77
29,Squat,Front Squat,Chest,Machine,Low,Beginner,157,272,Hold,Endurance,0.75
30,Squat,Front Squat,Core,Dumbbell,Medium,Beginner,134,311,Compound,Cardio,0.85
31,Squat,Bodyweight,Back,Barbell,Low,Intermediate,143,271,Hold,Strength,0.79
32,Squat,Bodyweight,Core,Bodyweight,Low,Beginner,118,130,Compound,Strength,0.82
33,Squat,Bodyweight,Core,Plate,Medium,Advanced,149,592,Push,Cardio,0.94
34,Squat,Goblet,Legs,Resistance Band,Medium,Beginner,154,273,Hold,Flexibility,0.73
35,Squat,Goblet,Shoulders,Resistance Band,Low,Intermediate,159,174,Isolation,Flexibility,0.72
36,Squat,Goblet,Arms,Plate,Low,Advanced,121,248,Pull,Strength,0.8
37,Squat,Jump,Legs,Dumbbell,Low,Beginner,120,126,Pull,Endurance,0.96
38,Squat,Jump,Chest,Bodyweight,Low,Intermediate,137,132,Push,Flexibility,0.8
39,Squat,Jump,Full Body,Kettlebell,Medium,Beginner,160,292,Compound,Endurance,0.74
40,Squat,Split,Back,Dumbbell,Low,Intermediate,136,295,Hold,Endurance,0.88
41,Squat,Split,Chest,Bodyweight,High,Advanced,132,507,Pull,Flexibility,0.97
42,Squat,Split,Core,Kettlebell,Medium,Advanced,125,389,Hold,Flexibility,0.94
43,Squat,Box,Core,Kettlebell,High,Intermediate,158,333,Hold,Endurance,0.83
44,Squat,Box,Core,Barbell,High,Advanced,141,462,Pull,Cardio,0.92
45,Squat,Box,Chest,Machine,Low,Intermediate,126,178,Isolation,Strength,0.97
46,Squat,Overhead,Core,Bodyweight,Medium,Beginner,131,255,Pull,Endurance,0.76
47,Squat,Overhead,Core,Dumbbell,Low,Beginner,161,281,Push,Strength,0.73
48,Squat,Overhead,Legs,Resistance Band,Medium,Advanced,117,352,Isolation,Cardio,0.8
49,Row,Seated Cable,Shoulders,Barbell,Low,Beginner,116,321,Pull,Endurance,0.95
50,Row,Seated Cable,Legs,Plate,Low,Advanced,111,355,Isolation,Cardio,0.98
51,Row,Seated Cable,Arms,Dumbbell,Medium,Beginner,125,511,Push,Flexibility,0.76
52,Row,Bent-over Barbell,Legs,Machine,Medium,Advanced,127,598,Hold,Strength,0.98
53,Row,Bent-over Barbell,Back,Dumbbell,Medium,Intermediate,110,264,Push,Endurance,0.82
54,Row,Bent-over Barbell,Core,Resistance Band,Medium,Intermediate,162,370,Compound,Endurance,0.71
55,Row,Dumbbell,Legs,Machine,Low,Intermediate,162,302,Push,Strength,0.91
56,Row,Dumbbell,Legs,Machine,Medium,Advanced,147,369,Compound,Endurance,0.9
57,Row,Dumbbell,Back,Dumbbell,Low,Advanced,115,287,Isolation,Cardio,0.78
58,Row,Inverted,Full Body,Barbell,High,Beginner,164,367,Compound,Strength,0.88
59,Row,Inverted,Core,Bodyweight,Low,Intermediate,130,330,Push,Strength,0.86
60,Row,Inverted,Back,Kettlebell,Medium,Beginner,116,357,Pull,Strength,0.89
61,Row,Meadow,Legs,Dumbbell,Medium,Beginner,128,488,Hold,Flexibility,0.73
62,Row,Meadow,Full Body,Dumbbell,Low,Beginner,152,374,Compound,Endurance,0.93
63,Row,Meadow,Core,Machine,Medium,Intermediate,141,365,Compound,Endurance,0.94
64,Row,T-Bar,Legs,Machine,Medium,Advanced,161,396,Compound,Cardio,0.96
65,Row,T-Bar,Shoulders,Barbell,Low,Intermediate,135,158,Push,Endurance,0.71
66,Row,T-Bar,Legs,Resistance Band,Low,Advanced,134,399,Isolation,Flexibility,0.71
67,Row,Machine,Back,Barbell,High,Beginner,125,383,Compound,Flexibility,0.89
68,Row,Machine,Shoulders,Bodyweight,Low,Advanced,152,122,Compound,Endurance,0.91
69,Row,Machine,Chest,Machine,Low,Intermediate,163,134,Pull,Endurance,0.94
70,Row,Resistance Band,Full Body,Dumbbell,Low,Intermediate,115,114,Isolation,Cardio,0.81
71,Row,Resistance Band,Full Body,Resistance Band,Medium,Beginner,159,481,Isolation,Cardio,0.77
72,Row,Resistance Band,Core,Resistance Band,Medium,Intermediate,120,554,Isolation,Endurance,0.74
73,Deadlift,Conventional,Core,Machine,Low,Intermediate,148,368,Pull,Endurance,0.95
74,Deadlift,Conventional,Legs,Plate,High,Beginner,112,460,Compound,Strength,0.82
75,Deadlift,Conventional,Legs,Bodyweight,Low,Beginner,163,192,Compound,Strength,0.86
76,Deadlift,Sumo,Core,Bodyweight,Low,Advanced,150,397,Hold,Strength,0.82
77,Deadlift,Sumo,Back,Bodyweight,Medium,Advanced,115,254,Isolation,Endurance,0.9
78,Deadlift,Sumo,Full Body,Bodyweight,Low,Advanced,148,281,Push,Endurance,0.84
79,Deadlift,Trap Bar,Core,Barbell,Medium,Advanced,150,230,Push,Flexibility,0.79
80,Deadlift,Trap Bar,Chest,Plate,High,Intermediate,134,213,Push,Strength,0.99
81,Deadlift,Trap Bar,Core,Machine,Medium,Beginner,139,263,Compound,Cardio,0.84
82,Deadlift,Stiff-Legged,Shoulders,Dumbbell,Low,Advanced,115,364,Pull,Cardio,0.88
83,Deadlift,Stiff-Legged,Chest,Kettlebell,Medium,Intermediate,135,457,Isolation,Endurance,0.98
84,Deadlift,Stiff-Legged,Chest,Machine,Medium,Intermediate,144,331,Hold,Flexibility,0.95
85,Deadlift,Deficit,Arms,Dumbbell,Medium,Intermediate,145,435,Compound,Endurance,0.73
86,Deadlift,Deficit,Back,Resistance Band,Medium,Advanced,152,348,Pull,Cardio,0.82
87,Deadlift,Deficit,Full Body,Barbell,High,Intermediate,111,576,Isolation,Endurance,0.9
88,Deadlift,Romanian,Core,Barbell,Medium,Advanced,124,536,Pull,Cardio,0.78
89,Deadlift,Romanian,Back,Bodyweight,Medium,Beginner,156,485,Push,Endurance,0.97
90,Deadlift,Romanian,Legs,Barbell,Medium,Beginner,145,581,Pull,Cardio,0.73
91,Deadlift,Single Leg,Arms,Plate,Medium,Beginner,155,268,Compound,Cardio,0.73
92,Deadlift,Single Leg,Back,Bodyweight,Medium,Advanced,132,262,Compound,Strength,0.9
93,Deadlift,Single Leg,Legs,Resistance Band,High,Intermediate,136,253,Compound,Cardio,0.97
94,Deadlift,Snatch Grip,Core,Kettlebell,High,Advanced,159,459,Compound,Endurance,0.93
95,Deadlift,Snatch Grip,Legs,Dumbbell,High,Beginner,161,498,Isolation,Strength,0.8
96,Deadlift,Snatch Grip,Shoulders,Barbell,Medium,Intermediate,136,308,Isolation,Strength,0.83
97,Plank,Standard,Shoulders,Dumbbell,Low,Beginner,128,120,Compound,Cardio,0.75
98,Plank,Standard,Legs,Bodyweight,Low,Advanced,140,377,Push,Endurance,0.91
99,Plank,Standard,Full Body,Resistance Band,Low,Beginner,132,201,Push,Cardio,0.89
100,Plank,Side,Full Body,Kettlebell,Low,Advanced,146,352,Hold,Strength,0.98
101,Plank,Side,Core,Plate,Low,Advanced,123,119,Pull,Endurance,0.89
102,Plank,Side,Full Body,Plate,Medium,Advanced,156,540,Hold,Cardio,0.95
103,Plank,Reach,Chest,Plate,Low,Advanced,127,312,Compound,Cardio,0.78
104,Plank,Reach,Arms,Machine,Low,Intermediate,111,191,Compound,Endurance,1.0
105,Plank,Reach,Back,Barbell,High,Intermediate,151,213,Pull,Flexibility,0.95
106,Plank,Jack,Legs,Plate,Low,Intermediate,135,259,Isolation,Endurance,0.98
